CANTOR,CÓD,TÍTULO,INÍCIO DA LETRA,CART
MC WM,17075,FOGO NA GASOLINA ,Quando eu mandei você sentar,35D
10 CC,4920,I'M NOT IN LOVE ,'Im not in love so don't forget it,USA
"10,000 MANIACS",19807,MORE THAN THIS ,Icould feel at the time,INT10A
14 BIS,3755,LINDA JUVENTUDE ,"Zabelê, zumbi, besouro vespa fabricando",BRA
14 BIS,6074,PLANETA SONHO ,Aqui ninguém mais ficará depois do sol...,BRA
14 BIS,7392,NATURAL ,Penso em você no seu jeito,BRA
14 BIS,7693,ROMANCE ,Flores simples,IMP 11
14 BIS,9556,UMA VELHA CANÇÃO ROCK'N'ROLL,Olhe oh oh oh venha solte seu corpo n,IMP 13
14 BIS,6197,TODO AZUL DO MAR ,Foi assim como ver o mar ...,BRA
14 BIS,1039,BOLA DE MEIA BOLA DE GUDE INF,--,EUA
3 DOORS DOWN,9033,HERE WITHOUT YOU ,Ahundred days had made me older,USA
30 SECONDS TO MARS,20379,THE KILL (BURY ME) ,What if I wanted to break,INT 13
365,6549,SÃO PAULO ,Tem dias que eu digo não….,BRA
4 NON BLONDES,2578,SPACEMAN ,Starry night bring me down,EUA 3
4 NON BLONDES,9072,WHAT'S UP ,Twenty-five years and my life is still,USA
5 SECONDS OF SUMMER,19852,SHE LOOKS SO PERFECT ,He-ey e-hey... Simmer down simmer down,INT10B
5 SECONDS OF SUMMER,20533,COMPLETE MESS ,Caught up in heaven but your heaven,INT14K
A BANDA MAIS BONITA DA A BANDA MAIS BONITA DA CIDADE,2748,ORAÇÃ,Omeu amor essa é a última oração,IMP 21
A COR DO SOM,6402,ABRI A PORTA ,Abri a porta apareci...,BRA
A COR DO SOM,7175,MENINO DEUS ,Menino Deus um corpo azul-dourado,BRA
A COR DO SOM,7480,ZANZIBAR ,No azul de Jezebel no céu de,BRA
A COR DO SOM,17247,SEMENTE DO AMOR ,Sim é como a flor de água e ar luz e calor,IMP 37
A TEENS,4938,MAMMA MIA I,'ve being cheated by you since I don't,USA
A TEENS,4970,SUPER TROUPER ,Super trouper beams are gonna blind me,USA
A TURMA DO BALÃO MÁGICO,1543,BRUXINHA ,Ôbruxinha bonitinha da vassoura de,IMP 18
A TURMA DO MÔNICA,7548,SER CRIANÇA É BOM ,Ser criança é bom ser criança faz bem...,INF
A VIGÍLIA,5614,JEOVÁ É O TEU CAVALEIRO ,Jeová é o teu cavaleiro que...,EVAN
A VIGÍLIA,5617,JESUS TE ENTRONIZAMOS ,Jesus nesta noite...,EVAN
A VIGÍLIA,5636,RENOVA-ME ,Renova-me Senhor Jesus já não quero...,EVAN
A VIGÍLIA 2,5608,ESTAMOS AQUI ,Estamos aqui na casa de Deus...,EVAN
A ZORRA,9574,ACORDA ESPERANÇA ,Sei,IMP146
A-HA,4973,TAKE ON ME ,We're talking away,USA
A-HA,19400,YOU ARE THE ONE ,You are the one who has done me in,INT 7
A-HA,19853,STAY ON THESE ROADS ,Cold has a voice,INT10B
A-HA,20034,THERE'S NEVER A FOREVER THING,Dearest close your eyes now,INT11B
A-HA,20094,CHORANDO NA CHUVA ,Eu nunca vou deixar você ver,INT11D
A-HA,20508,TOUCHY! ,Donna found us in her slow and dreamy wa,INT 14
A-HÁ,19213,HUNTING HIGH AND LOW ,Here I am and within the reach,INT 6
ABBA,2533,MAMMA MIA I,’ve been cheated by you since I don’t,EUA 4
ABBA,4574,DANCING QUEEN ,Yeah! You can dance you can jive,EUA
ABBA,4787,THE WINNER TAKES IT ALL ,Idon’t wanna talk...,EUA
ABBA,4877,CHIQUITITA ,Chiquitita tell me what's wrong,USA
ABBA,9116,I HAVE A DREAM ,Ihave a dream a song to sing…,EUA
ABBA,19333,FERNANDO ,Can you hear the drums Fernando,INT 7
ABBA,19768,KNOWING ME KNOWING YOU ,No more carefree laughter,INT09D
ABBA,20243,GIMME! GIMME! GIMME! (A MAN AFTER MIDNIGHT) ,Half past twelve and I watching,INT 12D
ABBA,20411,DON'T SHUT ME DOWN ,Awhile ago I heard the sound of children's,INT 13
ABBA,20455,LAY ALL YOUR LOVE ON ME ,Iwasn´t jealous before we met,INT 14
ABBA,20548,SOS ,Where are those happy days they seem so hard,INT14L
ABELHUDOS,1804,AS CRIANÇAS E OS ANIMAIS ,Êô ê ô,IMP20
ABSYNTHO,6355,SÓ A LUA ,Lembro que ela disse meio triste...,BRA
ABÍLIO FARIAS,1790,VOU FECHAR O CABARÉ ,Esperei tanto,IMP19
AC-DC,2606,HIGHWAY TO HELL ,Livin’ easy lovin’ free,EUA 4
AC-DC,5870,BACK IN BLACK ,Back in black I hit the sack,USA 3
AC-DC,19696,FOR THOSE ABOUT TO ROCK (WE SALUTE YOU) ,We roll tonight to the guitar bite,INT09B
AC-DC,20370,YOU SHOOK ME ALL NIGHT LONG,She was a fast machine she kept her motor,INT 13
ACE OF BASE,4857,ALL THAT SHE WANTS ,She leads a lonely life,USA
ACE OF BASE,9221,HAPPY NATION ,Laudate omnes gentes laudate...,USA 3
ACE OF BASE,19568,DON'T TURN AROUND ,Don't tell me that you wanna leave,INT08C
ACE OF BASE,19687,BEAUTIFUL LIFE ,You can do what you want just seize the day,INT09B
ACE OF BASE,19795,THE SIGN I ,Igot a new life,INT09D
ACORDEON,17608,SOZINHO NAO VOU SOFRER ,Não vou dizer que ja te esqueci 39E,@@
ACORDEON JOÃO GOMES - VITOR,17622,AMANDO VOCE ,Tu sabe não vai demorar 39G,@@
ADAIR CARDOSO,1710,QUE SE DANE O MUNDO ,Eque se dane o mundo e que se dane,IMP19
ADALBERTO E ADRIANO,75358,ATITUDE ,Musica Extra,@@
ADALBERTO E ADRIANO,3726,SEPARAÇÃO ,Qual terá sido o motivo da nossa,BRA
ADELE,2569,ROLLING IN THE DEEP ,There’s a fire starting in my heart,EUA 4
ADELE,2600,SOMEONE LIKE YOU ,Iheard that you’re settled down,EUA 4
ADELE,2603,CHASING PAVEMENTS I,’ve made up my mind,EUA 4
ADELE,2627,SET FIRE TO THE RAIN ,Ilet it fall my heart and as I fell,EUA 4
ADELE,19068,SKYFALL ,This is the end hold your breath and count,INT 5
ADELE,19362,HELLO ,Hello it's me,INT 7
ADELE,19404,WHEN WE WERE YOUNG ,Everybody loves the things you do,INT 7
ADELE,19493,SEND MY LOVE (TO YOUR NEW LOVER) ,This was all you none of it me put your hands all,INT08A
ADELE,19534,ONE AND ONLY ,You've been on my mind,INT08B
ADELE,19678,WATER UNDER THE BRIDGE ,If you're not the one for me,INT09A
ADELE,19741,MAKE YOU FEEL MY LOVE ,When the rain is blowing in your face,INT09C
ADELE,20039,TURNING TABLES ,Close enough to start a war,INT11B
ADELE,20091,TUD,Oque eu peço Vou deixar meu coração na porta,INT11D
ADELE,20436,EASY ON ME ,There ain't no gold in this river,INT 13
ADELE,20613,I DRINK WINE ,How can one become so bounded 15B,@@
ADELINO NASCIMENTO,75359,ADEUS INGRATA ,Musica Extra,@@
ADHEMAR DE CAMPOS (COMUNIDADE DA GRAÇA),2986,NOSSO GENERAL ,Pelo Senhor marchamos sim o Seu,EVA4D
ADONIRAN BARBOSA,7062,AS MARIPOSAS ,As mariposa quando chega o frio,BRA
ADONIRAN BARBOSA,16322,APAGA O FOGO MANÉ ,Inez saiu dizendo que ia comprar um pavio 31B,@@
ADRIAN GURVITZ,19726,CLASSIC ,Got to write a classic,INT09C
ADRIANA,9466,I LOVE YOU BABY ,Difícil é viver sem teu amor,IMP 13
ADRIANA CALCANHOTO,1119,SEU PENSAMENT,Oa uma hora dessas,IMP 15
ADRIANA CALCANHOTO,1297,MARESI,Ameu amor me deixou levou minha identi,IMP 16
ADRIANA CALCANHOTO,1581,CANÇÃO DE NOVELA ,Toalha molhada,IMP 18
ADRIANA CALCANHOTO,2798,METADE ,Eu perco o chão 22A,@@
ADRIANA CALCANHOTO,4138,VAMBORA ,Entre por essa porta agora,BRA
ADRIANA CALCANHOTO,4160,MAIS FELIZ ,Onosso amor não vai parar,BRA
ADRIANA CALCANHOTO,4161,MENTIRAS ,Nada ficou no lugar,BRA
ADRIANA CALCANHOTO,6126,DEVOLVA-ME ,Rasgue as minhas cartas.............,BRA
ADRIANA CALCANHOTO,6573,JUSTO AGORA ,Eu ouvi dizer que você assim…,BRA
ADRIANA CALCANHOTO,6822,FICO ASSIM SEM VOCÊ ,Avião sem asa fogueira sem brasa,BRA
ADRIANA CALCANHOTO,7648,NAQUELA ESTAÇÃO ,Você entrou no trem,IMP 11
ADRIANA CALCANHOTO,7661,OUTRA VEZ ,Outra vez sem você outra vez sem amor,IMP 11
ADRIANA CALCANHOTO,7668,PELOS ARES ,Não lhe peço nada,IMP 11
ADRIANA CALCANHOTO,9450,ESQUADROS ,Eu ando pelo mundo prestando atenção,IMP 13
ADRIANA CALCANHOTO,9846,MULHER SEM RAZÃO ,Saia dessa vida de migalhas,IMP 14
ADRIANA CALCANHOTO,16605,ERA PRA SER ,Era pra ser canção de amor 33A,@@
ADRIANA CALCANHOTO,17694,INVERNO ,No dia em que fui mais feliz 39P,@@
ADRIANA E A RAPAZIADA,4458,SÓ FALTAVA VOCÊ ,Sò faltava você...,BRA
ADRIANA E A RAPAZIADA,6121,AMOR PRA VALER ,Já faz tanto tempo não consigo........,BRA
ADRIANA MARQUES,2408,AMOR PERFEITO ,Ovento sopra e leva a solidão e uma,EVAN04A
ADRYANA E A RAPAZIADA,6035,TUDO PASSA ,Tudo na vida passa tudo na vida...,BRA
ADRYANA E A RAPAZIADA,6257,FIM DE NOITE ,Você nunca vai me ver sofrer...,BRA
ADRYANA E A RAPAZIADA,6294,EU TE AMO (AND I LOVE HER) ,Foi tanto que eu te amei e eu não sabia...,BRA
ADRYANA RIBEIRO,1490,SAUDADE VEM ,Oque é que você foi fazer comigo,IMP 18
ADRYANA RIBEIRO,3789,E AGORA? ,Eagora como é que eu vou ficar,BRA
ADÍLSON RAMOS,6982,SONHAR CONTIGO ,Sonhar contigo por toda vida…,BRA
AEROSMITH,4678,AMAZING ,Iget the right ones out...,EUA
AEROSMITH,4879,CRAZY ,Come here baby,USA
AEROSMITH,4909,I DON'T WANT TO MISS A THING ,Icould stay awake just to hear you brea,USA
AEROSMITH,19165,CRYIN' ,There was a time when I was so brokenhearted,INT 6
AEROSMITH,19172,DREAM ON ,Every time that I look in the mirror,INT 6
AEROSMITH,19505,JANIE'S GOT A GUN ,Dum dum dum honey what have you done,INT08A
AEROSMITH,19538,ANGEL I,'m alone yeah I don't know if,INT08B
AEROSMITH,19625,PINK ,Pink it's my new obsession,INT08D
AEROSMITH,19658,JADED ,Hey j-j-jaded you got your mama's style,INT09A
AEROSMITH,19876,LIVIN' ON THE EDGE ,There's somethin' wrong with the world today,INT10B
AEROSMITH,20225,HOLE IN MY SOUL ,Is it over is it over 'cause I'm blowing out,INT12C
AEROSMITH,20394,FALLING IN LOVE (IS HARD ON THE KNEES) ,You're so bad... You think you're in love,INT 13
AEROSMITH,20430,WHAT IT TAKES ,There goes my old girlfriend,INT 13
AEROSMITH,20555,FLY AWAY FROM HERE ,Gotta find a way yeah I can´t wait another day,INT14M
AFRODISÍACO,7621,JA É ,Ôh ôh ôh ôh ôh ôh incendeia,IMP 11
AFRODITE SE QUISER,1434,O QUE QUE ELA TEM QUE E,Unão adianta,IMP17
AGEPÊ,1455,LÁ VEM O TRE,Mlá vem o trem no passo que o vento vem,IMP17
AGEPÊ,1535,NINGUEM FAZ AMOR COMO ,Se eu perdi a hora não se zangue comi,IMP 18
AGEPÊ,3883,MOÇA CRIANÇA ,Oseu andar tem jeito de moça,BRA
AGEPÊ,6454,DEIXA EU TE AMAR ,Quero ir na fonte do teu ser…,BRA
AGEPÊ,6938,MENINA DE CABELOS LONGOS ,Êê ê... menina de cabelos longos…,BRA
AGEPÊ,7328,DE AMOR É BOM ,Um lindo canto com um gosto,BRA
AGEPÊ,7332,DE TODAS AS FORMAS ,Me dê a posse do teu corpo,BRA
AGEPÊ,7381,ME LEVA ,Tudo nasceu de brincadeira,BRA
AGEPÊ,3848,MORO ONDE NÃO MORA NINGUÉM ,"Moro, onde não mora ninguém...",BRA
AGGEU MARQUES,15178,MÁQUINA DO TEMPO ,Finjo não saber que o tempo passa logo imp 24,@@
AGNALDO RAYOL,3737,A PRAIA ,Em plena praia no céu azul brilhava o sol,BRA
AGNALDO RAYOL,3739,AMIGOS PARA SEMPRE ,Eu não tenho nada pra dizer,BRA
AGNALDO RAYOL,6303,O PRINCÍPIO E O FIM ,Aminha vida em carinhos...,BRA
AGNALDO RAYOL,6362,AVE MARIA NO MORRO ,Barracão de zinco...,BRA
AGNALDO RAYOL,15521,ACORRENTADOS (ENCADENADOS),Talvez fosse melhor se não voltasses,IMP26
AGNALDO RAYOL,15853,NÃO VOLTO MAIS ,Se você quiser saber amor vou cuidar de mim,IMP28
AGNALDO RAYOL,7031,SANTA LUCIA ,Sul mare luccica l'astro d'argento,ITA
AGNALDO RAYOL E C.CHURCH,7036,TORMENTO D'AMORE ,Martirio tormento d'amore,ITA
AGNALDO TIMÓTEO,1688,MAMÃE ESTOU TÃO FELIZ ,Mamãe estou tão feliz porque voltei,IMP19
AGNALDO TIMÓTEO,4370,QUEM É ,Quem é que não sofre por alguém...,BRA
AGNALDO TIMÓTEO,4399,MEU GRITO ,Se eu demoro mais aqui eu vou morrer...,BRA
AGNALDO TIMÓTEO,6503,OS VERDES CAMPOS DA MINHA TERRA ,Se algum dia à minha terra eu voltar…,BRA
AGNALDO TIMÓTEO,6884,A NOIVA ,Ave Maria… Branca e radiante…,BRA
AGNALDO TIMÓTEO,6947,NÃO MEREÇO VOCÊ ,Não mereço você sei que vou me…,BRA
AGNALDO TIMÓTEO,6959,OS BRUTOS TAMBÉM AMAM ,Você jamais vai entender o amor que…,BRA
AGNALDO TIMÓTEO,7166,LIVRE ,Livre nasci como a brisa,BRA
AGNALDO TIMÓTEO,7282,A CASA DE IRENE ,Os dias tristes,BRA
AGNALDO TIMÓTEO,7283,A CASA DO SOL NASCENTE ,Acasa dos meus sonhos é,BRA
AGNALDO TIMÓTEO,7287,A GALERIA DO AMOR ,Numa noite de insônia saí,BRA
AGNALDO TIMÓTEO,17146,ETIQUETAS ,Vem me faz feliz por um momento apenas36D,@@
AGNELA,1150,PODIA SE,Rnão sei porque você não,IMP 15
AGOSTINHO DOS SANTOS,4221,A FELICIDADE ,Tristeza não tem fim felicidade...,BRA
AGOSTINHO DOS SANTOS,7301,AQUELES OLHOS VERDES ,Aqueles olhos verdes,BRA
AGOSTINHO DOS SANTOS,9695,MANHÃ DE CARNAVAL ,Manhã tão bonita manhã,IMP 14
AGRIDOCE (PITTY),2792,DANÇANDO ,Eu sei que lá no fundo 22A,@@
AGRIDOCE (PITTY),15202,130 ANOS ,Caro é transformar-se num arremendo de si próprio imp 24,@@
AGUINALDO TIMÓTEO,15621,QUEM SERÁ? ,Amor só se dá se amor se ganha também,IMP26
AIR SUPPLY,4935,LOST IN LOVE ,Irealize the best part of love,USA
AIR SUPPLY,5911,HERE I AM ,Here I am,USA 3
AIR SUPPLY,9105,EVEN THE NIGHTS ARE BETTER I ,Iwas the lonely one…,EUA
AIR SUPPLY,9182,THE ONE THAT YOU LOVE ,Now the night has gone…,EUA
AIR SUPPLY,9243,ALL OUT OF LOVE I,'m lying alone...,USA 3
AIR SUPPLY,19433,GOODBYE ,Ican see the pain living in your eyes,INT 7
AIR SUPPLY,19499,MAKING LOVE OUT OF NOTHING AT ALL ,Iknow just how to whisper,INT08A
AIR SUPPLY,19769,LONELY IS THE NIGHT ,Really thought that I could live without you,INT09D
AIR SUPPLY,19965,I CAN WAIT FOREVER ,When you say I miss the things you do,INT11A
AIR SUPPLY,20523,EVERY WOMAN IN THE WORLD ,Overnight scenes dinner and wine,INT14J
AKUNDUM,3563,EMACONHADA ,Kaya erva danada Kaya erva danada,BRA
AL JARREAU,5942,MORNIN' ,Mornin' mister Radio,USA 3
AL JARREAU,9193,WE'RE IN THIS LOVE TOGETHER ,It's like a diamond ring it's a precious…,EUA
AL MARTINO,4592,LOVE IS BLUE ,Blue blue my world is blue,EUA
AL STEWART,4806,YEAR OF THE CAT ,On a morning from a Bogart movie...,EUA
ALAN E ALADIM,16652,DOIS PASSARINHOS ,No instante em que voce me beija 32B,@@
ALAN E ALADIM,17691,A DOIS GRAUS ,Quase um ano de espera debrucado na janela 39P,@@
ALAN JACKSON,9026,EVERYTHING I LOVE ,Coffee keeps me up and I can't sleep,USA
ALAN JACKSON,9036,I'LL TRY ,Here we are talkin' bout forever,USA
ALAN JACKSON,9041,LIVIN' ON LOVE ,Two young people without a thing,USA
ALAN JACKSON,9139,MIDNIGHT IN MONTGOMERY ,Midnight in Montgomery silver eagle…,EUA
ALAN PARSON'S PROJECT,9187,TIME ,Time flowin' like a river…,EUA
ALAN PARSONS PROJECT,4888,EYE IN THE SKY ,Don't think sorry's easily said,USA
ALAN WALKER,19984,FADED ,You were the shadow to my light,INT11A
ALAN e ALADIM,16394,LIGUEI PRA DIZER QUE TE AMO ,Já é tarde é quase madrugada 31C,@@
ALANIS MORISSETE,4850,YOU OUGHTA KNOW ,Iwant you to know that I'm happy for y,USA
ALANIS MORISSETTE,2570,THAT I WOULD BE GOOD ,That I would be good even if I did not,EUA 4
ALANIS MORISSETTE,4922,IRONIC ,"Hey yeah yeah yeah Oh oh, oh yeah",USA
ALANIS MORISSETTE,4997,YOU LEARN ,"Oooh, oooh-do, do",USA
ALANIS MORISSETTE,19100,HAND IN MY POCKET I,'m broke but I'm happy I'm poor but,INT 5
ALANIS MORISSETTE,19147,THANK U ,How 'bout getting off of these antibiotics,INT 5
ALANIS MORISSETTE,19354,UNINVITED ,Like anyone would be I am flattered by you,INT 7
ALANIS MORISSETTE,19902,OFFER ,Who who am I to be blue,INT10C
ALANIS MORISSETTE,20421,HANDS CLEAN ,If it weren't for your maturity,INT 13
ALANIS MORISSETTE,20453,EVERYTHING ,Ican be na asshole of the grandest kind,INT 14
ALANIS MORISSETTE,20615,KING OF PAIN ,There's a little black spot on the sun today 15B,@@
ALANNAH MYLES,2602,BLACK VELVET ,Mississippi in the middle of the dry s,EUA 4
ALAVONTÊ,15607,Ê LÁ EM CASA ,Ela atravessa a rua e vem falar comigo mas,IMP26
ALBERT HAMMOND,4626,FOR THE PEACE OF ALL MANKIND,You turn me on so bad that there,EUA
ALBERT HAMMOND,9128,IT NEVER RAINS IN SOUTHERN CALIFORNIA ,Got on a board a west bound seven forty…,EUA
ALCEU VALENCA,16674,EU VOU FAZER VOCE VOAR ,Eu vou fazer voce voar 32B,@@
ALCEU VALENÇA,1120,SOLIDÃ,Oa solidão é fera a solidão,IMP 15
ALCEU VALENÇA,3277,TROPICANA ,Da manga rosa quero o gosto e o,BRA
ALCEU VALENÇA,3880,LA BELLE DE JOUR ,Ah! eh! ah! eh! La belle de jour,BRA
ALCEU VALENÇA,3903,ANUNCIAÇÃO ,Na bruma leve das paixões,BRA
ALCEU VALENÇA,4071,CORAÇÃO BOBO ,Meu coração tá batendo...,BRA
ALCEU VALENÇA,6452,COMO DOIS ANIMAIS ,Uma moça bonita de olhar agateado…,BRA
ALCEU VALENÇA,16854,GIRASSOL ,Mar e sol gira gira gira...girassol 34C,@@
ALCEU VALENÇA,15223,DONA DE 7 COLINAS ,Ela é dona de sete colinas debruçadas na beira do mar imp 247,@@
ALCIONE,75543,PRA QUE NEGAR ,Musica Extra,@@
ALCIONE,75544,QUEDA DE BRAÇO ,Musica Extra,@@
ALCIONE,1165,EU VOU PRA LAP,Aé ela a dama da noite,IMP 16
ALCIONE,1600,O QUE EU FAÇO AMANHÃ? ,De repente você vem dizer,IMP 18
ALCIONE,1604,FAZ UMA LOUCURA POR MIM ,Faz uma loucura por mim,IMP 18
ALCIONE,1624,QUEM É VOCÊ? ,Quem é você,IMP 18
ALCIONE,1795,QUALQUER DIA DESSES ,Qualquer dia desses,IMP19
ALCIONE,1979,GAROTO MAROT,Ovocê faz de conta que quer meu perdão,IMP 21
ALCIONE,2694,"NÃO CHORE, NÃ",Opra quê chorar a vida é mesmo assim,IMP 21
ALCIONE,2797,MELHORES MOMENTOS ,Como posso explicar para o meu 22A,@@
ALCIONE,3060,DELÍRIO DO AMOR ,Você acaba dando um jeito,BRA
ALCIONE,3169,NÃO DEIXE O SAMBA MORRER ,Não deixe o samba morrer,BRA
ALCIONE,3263,SUFOCO ,Não sei se vou aturar esses seus abusos,BRA
ALCIONE,3270,TÔ COM SAUDADE ,Tô com saudade amor já não suporto,BRA
ALCIONE,4196,GOSTOSO VENENO ,Esse amor me envenena...,BRA
ALCIONE,6246,ALÉM DA CAMA ,De amor eu não morro...,BRA
ALCIONE,6521,A LOBA ,Sou doce dengosa polida…,BRA
ALCIONE,6626,O MUNDO É DE NÓIS DOIS ,Esse nosso amor é a perfeição...,BRA
ALCIONE,6759,VOCÊ ME VIRA A CABEÇA ,Você me vira a cabeça me tira...,BRA
ALCIONE,6940,MEU ÉBANO ,Évocê e um negão de tirar o chapéu…,BRA
ALCIONE,7186,NA HORA DA RAIVA ,Na hora da raiva eu lhe disse tudo,BRA
ALCIONE,7201,O SURDO ,Amigo que ironia desta vida,BRA
ALCIONE,7232,RIO ANTIGO ,Quero o bate-papo na esquina,BRA
ALCIONE,9282,MENINO SEM JUÍZO ,Sabe meu menino sem juízo,IMP 13
ALCIONE,9286,MEU VÍCIO É VOCÊ ,Meu cigarro é o perfume do mato,IMP 13
ALCIONE,9316,PIOR É QUE EU GOSTO ,De repente é mais uma vez,IMP 13
ALCIONE,9337,SE NÃO É AMOR ,Se não é amor,IMP 13
ALCIONE,15022,A PAIXÃO TEM MEMÓRIA ,Lá vem você de novo procurar por mim,IMP 23
ALCIONE,16274,NEM MORTA ,Eu só fico em teus braços porque não tenho,30D
ALCIONE,16633,AMOR SURREAL ,Se ajoelha e me pede perdão 33A,@@
ALCIONE,16788,MULHER IDEAL ,Eu sou aquilo que sou 34A,@@
ALCIONE,17440,UM SER DE LUZ ,Um dia um ser de luz nasceu numa cidade do,IMP 38
ALCIONE - GONZAGUINHA,15739,MESA DE BAR ,Mesa de bar é lugar pra todo mundo que é,IMP 27
ALCIONE E ALEX. PIRES,4079,ESTRANHA LOUCURA ,Minha estranha loucura...,BRA
ALDA CÉLIA,2402,A COLHEITA ,Voz do que clama em meio ao deserto,EVAN04A
ALDA CÉLIA,2426,ÓLEO DE ALEGRIA O ,Espírito de Deus nos ungiu pra,EVAN04A
ALDA CÉLIA,2428,PODER DA ORAÇÃO ,Eu creio no poder dos joelhos que se,EVAN04A
ALDA CÉLIA,2439,VOAR COMO A ÁGUIA ,Étempo de quebrar cadeias restaurar,EVAN04A
ALDA CÉLIA,2462,MOSTRA-ME TUA GLÓRIA ,Santifica-me purifica-me Senhor,EVAN04B
ALEJANDRO SANZ,4105,CORAZÓN PARTÍO ,Tiritas pa este corazón partío,BRA
ALEJANDRO SANZ - ALICIA KEYS,20087,PROCURANDO PELO PARAÍSO ,Oh oh oh oh ... Dirigindo em um carro rápido,INT11D
ALEM DO VÉU,2424,NASCI PRA VENCER ,Não posso deixar meu sonho se perder,EVAN04A
ALEMÃO DO FORRÓ,17174,FICA AMOR ,Fica amor por favor não diz já vou 36G,@@
ALESIS,9242,ALL FOR A REASON ,Iknow it's late and I'm a little drunk...,USA 3
ALESIS BROTHERS,9007,BABY COME BACK ,Spending all my nights all my money,USA
ALESSANDRO SILVA,75545,BESTEIRINHA ,Musica Extra,@@
ALESSI BROTHERS,20344,FOREVER ,Don't explain yourself doesn't matter,INT13G
ALESSI BROTHERS,20377,SAD SONGS ,It's early in the morning,INT 13
ALESSO - KATY PERRY,20500,WHEN I'M GONE ,When I'm gone I'm never really gone,INT 14
ALEX E RONALDO,16235,SEXTA FEIRA SUA LINDA ,Fim de semana começou 30C,@@
ALEXANDRE PEIXE,1077,EU SOU MAIS VOC,Êô ô... ô ô ô ô,IMP 15
ALEXANDRE PEIXE,9569,VOCÊ VAI PIRAR ,Você vai pirar vai enlouquecer,IMP 13
ALEXANDRE PIRE E DANIEL,1106,CHEGUEI TARDE DEMAI,Snão faz não quer não vem não,IMP 15
ALEXANDRE PIRES,1073,DESSA VEZ EU ME REND,Odizem que amor não mata,IMP 15
ALEXANDRE PIRES,1210,CIGAN,Oera lindo o nosso amor,IMP 16
ALEXANDRE PIRES,1472,SÓ POR UM MOMENT,"Oolha aqui, não fique esperando",IMP17
ALEXANDRE PIRES,1532,MULHER DAS ESTRELAS ,Ela canta demais,IMP 18
ALEXANDRE PIRES,1558,LEVE TUDO COM VOCÊ ,Como pude mentir o meu bem eu traí,IMP 18
ALEXANDRE PIRES,1786,ERRO MEU ,Se o amor bater deixa entrar,IMP19
ALEXANDRE PIRES,2877,SISSI ,Laiá laiá laiá... Ai que dede que dede que delícia 22C,@@
ALEXANDRE PIRES,6251,É POR AMOR ,Anoite de lua cheia é quase...,BRA
ALEXANDRE PIRES,6302,NECESSIDADE ,Beijar a tua boca é minha aventura...,BRA
ALEXANDRE PIRES,6443,A MUSA DAS MINHAS CANÇÕES ,No palco de um pequeno bar…,BRA
ALEXANDRE PIRES,6640,VEM ME AMAR (AMAME) ,Vem aqui doce amor...,BRA
ALEXANDRE PIRES,6649,"BUM, BUM, BUM ",Amiga olha só como mudou a vida...,BRA
ALEXANDRE PIRES,6816,COISA DO DESTINO ,Isso é coisa do destino eu sofri,BRA
ALEXANDRE PIRES,6988,TIRA ELA DE MIM ,Tira a lembrança que ela deixou…,BRA
ALEXANDRE PIRES,7603,EU TIRO A SUA ROUPA ,Às vezes em silêncios a emoção me fa,IMP 11
ALEXANDRE PIRES,7696,SE ELA ME AMASSE ,Se ela me amasse,IMP 11
ALEXANDRE PIRES,7697,SEM TEU AMOR NADA É IGUAL ,Me pego remexendo em suas coisas,IMP 11
ALEXANDRE PIRES,9575,A DEUS EU PEÇO ,Que a menina dos meus olhos,IMP 14
ALEXANDRE PIRES,15834,QUEM É VOCÊ ,Eu descobri quem você é posso estar equivocado mas,IMP28
ALEXANDRE PIRES,6198,USTED SE ME LLEVÓ LA VIDA ,Usted se me llévo la vida...,BRA
ALEXANDRE PIRES - IVETE ALEXANDRE PIRES - FERRUGEM,17739,SÓ PRA ELA ,Mal sabia eu que aquele domingo 40B,@@
ALEXANDRE PIRES - JORGE,17637,PODE PARAR ,Quer mais de mim quer mais amor39H,ALEXANDRE PIRES - MENOS É
ALEXANDRE PIRES - SEU JORGE,15408,EU SOU O SAMBA ,Coisa linda muito prazer hoje você vai,IMP25
ALEXANDRE PIRES E FAT FAMILY,6764,AO SENTIR O AMOR ,Asensação de ver você chegar...,BRA
ALEXANDRE PIRES E REVELAÇÃO,9655,DELÍRIOS DE AMOR ,Me lembro o dia que cheguei,IMP 14
ALIADOS,1153,SORRIND,Oontem um sonho acabou,IMP 15
ALIADOS,15446,ÁGUAS PASSADAS ,Deixa rolar deixa fluir,IMP25
ALIADOS,15455,ESPERANÇA ,Enquanto ela estiver aqui,IMP25
ALICE COOPER,2526,I NEVER CRY ,If there’s a tear on my face,EUA 4
ALICE COOPER,9144,NO MORE MR. NICE GUY ,Iused to be such a sweet sweet thing…,EUA
ALICE COOPER,19699,HOW YOU GONNA SEE ME NOW ,Dear Darlin' surprised to hear from me,INT09B
ALICE COOPER,20568,SCHOOL`S OUT ,Well we got no choice all the girls and boys,INT14N
ALICE IN CHAINS,20302,MAN IN THE BOX I,'m the man in the box buried in my shit,INT13C
ALICIA BRIDGES,19846,I LOVE THE NIGHTLIFE ,Please don't talk about love tonight,INT10B
ALICIA KEYS,2568,NO ONE ,Ijust want you close,EUA 4
ALICIA KEYS,4890,FALLIN' ,Ikeep on fallin' in and out love with,USA
